Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	[Arcobacter]_porcinus	NA	/mnt/e/focusDB/db/GCA_004299785.2_ASM429978v2_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_radicis	NA	/mnt/e/focusDB/db/GCA_003094615.1_ASM309461v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_rhizosphaerae	NA	/mnt/e/focusDB/db/GCA_010977555.1_ASM1097755v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_segnis	NA	/mnt/e/focusDB/db/GCA_000092285.1_ASM9228v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_segnis	NA	/mnt/e/focusDB/db/GCA_003015125.1_ASM301512v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_soli	NA	/mnt/e/focusDB/db/GCA_011045195.1_ASM1104519v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_vibrioides	NA	/mnt/e/focusDB/db/GCA_002310295.2_ASM231029v2_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_vibrioides	NA	/mnt/e/focusDB/db/GCA_002858865.1_ASM285886v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_zeae	NA	/mnt/e/focusDB/db/GCA_002858925.1_ASM285892v1_genomic.fasta
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Caviibacter	Caviibacter_abscessus	NA	/mnt/e/focusDB/db/GCA_001517835.1_ASM151783v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Caviibacterium	Caviibacterium_pharyngocola	NA	/mnt/e/focusDB/db/GCA_002795405.1_ASM279540v1_genomic.fasta
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cecembia	Cecembia_calidifontis	NA	/mnt/e/focusDB/db/GCA_004216715.1_ASM421671v1_genomic.fasta
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cecembia	Cecembia_lonarensis	NA	/mnt/e/focusDB/db/GCA_000298295.1_ASM29829v1_genomic.fasta
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cecembia	Cecembia_rubra	NA	/mnt/e/focusDB/db/GCA_003014575.1_ASM301457v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cedecea	Cedecea_davisae	NA	/mnt/e/focusDB/db/GCA_000412335.2_ASM41233v2_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cedecea	Cedecea_neteri	NA	/mnt/e/focusDB/db/GCA_001571265.1_ASM157126v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter_baekdonensis	NA	/mnt/e/focusDB/db/GCA_900102315.1_IMG-taxon_2616644820_annotated_assembly_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter_ethanolicus	NA	/mnt/e/focusDB/db/GCA_001550095.1_ASM155009v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter_halophilus	NA	/mnt/e/focusDB/db/GCA_001550085.1_ASM155008v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter_halophilus	NA	/mnt/e/focusDB/db/GCA_003254175.1_ASM325417v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter_halophilus	NA	/mnt/e/focusDB/db/GCA_900114135.1_IMG-taxon_2617270905_annotated_assembly_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter_indicus	NA	/mnt/e/focusDB/db/GCA_000819565.1_ASM81956v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter_indicus	NA	/mnt/e/focusDB/db/GCA_900106965.1_IMG-taxon_2693429899_annotated_assembly_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter_marinus	NA	/mnt/e/focusDB/db/GCA_001308265.1_ASM130826v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter_marinus	NA	/mnt/e/focusDB/db/GCA_900114275.1_IMG-taxon_2693429905_annotated_assembly_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter_neptunius	NA	/mnt/e/focusDB/db/GCA_900113955.1_IMG-taxon_2617270870_annotated_assembly_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter_persicus	NA	/mnt/e/focusDB/db/GCA_003050785.1_ASM305078v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	NA	Celerinatantimonadaceae	Celerinatantimonas	Celerinatantimonas_diazotrophica	NA	/mnt/e/focusDB/db/GCA_004339545.1_ASM433954v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_algicola	NA	/mnt/e/focusDB/db/GCA_003851725.1_ASM385172v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_biazotea	NA	/mnt/e/focusDB/db/GCA_004306155.1_ASM430615v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_bogoriensis	NA	/mnt/e/focusDB/db/GCA_000767165.1_ASM76716v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_carbonis	NA	/mnt/e/focusDB/db/GCA_000767175.1_ASM76717v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_carbonis	NA	/mnt/e/focusDB/db/GCA_014636275.1_ASM1463627v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_cellasea	NA	/mnt/e/focusDB/db/GCA_000767135.1_ASM76713v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_cellasea	NA	/mnt/e/focusDB/db/GCA_006538745.1_ASM653874v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_citrea	NA	/mnt/e/focusDB/db/GCA_009829685.1_ASM982968v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_composti	NA	/mnt/e/focusDB/db/GCA_007990245.1_ASM799024v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_endophytica	NA	/mnt/e/focusDB/db/GCA_004123805.1_ASM412380v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_fimi	NA	/mnt/e/focusDB/db/GCA_000212695.1_ASM21269v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_flavigena	NA	/mnt/e/focusDB/db/GCA_000092865.1_ASM9286v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_gelida	NA	/mnt/e/focusDB/db/GCA_006538725.1_ASM653872v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_gelida	NA	/mnt/e/focusDB/db/GCA_014647015.1_ASM1464701v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_gilvus	NA	/mnt/e/focusDB/db/GCA_000218545.1_ASM21854v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_hominis	NA	/mnt/e/focusDB/db/GCA_007989225.1_ASM798922v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_iranensis	NA	/mnt/e/focusDB/db/GCA_001552375.1_ASM155237v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_marina	NA	/mnt/e/focusDB/db/GCA_900111925.1_IMG-taxon_2675903053_annotated_assembly_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_massiliensis	NA	/mnt/e/focusDB/db/GCA_000312005.1_ASM31200v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_oligotrophica	NA	/mnt/e/focusDB/db/GCA_006386485.1_ASM638648v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_persica	NA	/mnt/e/focusDB/db/GCA_007989825.1_ASM798982v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_rhizosphaerae	NA	/mnt/e/focusDB/db/GCA_003470205.1_ASM347020v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_shaoxiangyii	NA	/mnt/e/focusDB/db/GCA_004798685.1_ASM479868v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_taurus	NA	/mnt/e/focusDB/db/GCA_012931845.1_ASM1293184v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_telluris	NA	/mnt/e/focusDB/db/GCA_004886325.1_ASM488632v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_terrae	NA	/mnt/e/focusDB/db/GCA_007990265.1_ASM799026v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_timonensis	NA	/mnt/e/focusDB/db/GCA_900046455.1_Cellulomonas_timonensis_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_uda	NA	/mnt/e/focusDB/db/GCA_006538705.1_ASM653870v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_xylanilytica	NA	/mnt/e/focusDB/db/GCA_007989805.1_ASM798980v1_genomic.fasta
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga_algicola	NA	/mnt/e/focusDB/db/GCA_000186265.1_ASM18626v1_genomic.fasta
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga_baltica	NA	/mnt/e/focusDB/db/GCA_900102165.1_IMG-taxon_2622736528_annotated_assembly_genomic.fasta
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga_fucicola	NA	/mnt/e/focusDB/db/GCA_900119145.1_IMG-taxon_2595699004_annotated_assembly_genomic.fasta
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga_lytica	NA	/mnt/e/focusDB/db/GCA_000190595.1_ASM19059v1_genomic.fasta
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga_omnivescoria	NA	/mnt/e/focusDB/db/GCA_001999725.1_CellW5C1.0_genomic.fasta
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga_tyrosinoxydans	NA	/mnt/e/focusDB/db/GCA_900176415.1_IMG-taxon_2595698249_annotated_assembly_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Cellulosilyticum	Cellulosilyticum_lentocellum	NA	/mnt/e/focusDB/db/GCA_000178835.2_ASM17883v2_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Cellulosilyticum	Cellulosilyticum_ruminicola	NA	/mnt/e/focusDB/db/GCA_001311925.1_ASM131192v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium_aquatile	NA	/mnt/e/focusDB/db/GCA_900155925.1_IMG-taxon_2681812868_annotated_assembly_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium_cellulans	NA	/mnt/e/focusDB/db/GCA_000321105.1_ASM32110v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium_cellulans	NA	/mnt/e/focusDB/db/GCA_006539945.1_ASM653994v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium_funkei	NA	/mnt/e/focusDB/db/GCA_001570825.1_ASM157082v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium_funkei	NA	/mnt/e/focusDB/db/GCA_004519295.1_ASM451929v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	NA	/mnt/e/focusDB/db/GCA_000019225.1_ASM1922v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_zantedeschiae	NA	/mnt/e/focusDB/db/GCA_014652535.1_ASM1465253v1_genomic.fasta
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Centipeda	Centipeda_periodontii	NA	/mnt/e/focusDB/db/GCA_000213975.1_ASM21397v1_genomic.fasta
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Cephaloticoccus	Cephaloticoccus_capnophilus	NA	/mnt/e/focusDB/db/GCA_001580045.1_ASM158004v1_genomic.fasta
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Cephaloticoccus	Cephaloticoccus_primus	NA	/mnt/e/focusDB/db/GCA_001580015.1_ASM158001v1_genomic.fasta
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Cerasibacillus	Cerasibacillus_quisquiliarum	NA	/mnt/e/focusDB/db/GCA_007991195.1_ASM799119v1_genomic.fasta
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Cerasibacillus	Cerasibacillus_terrae	NA	/mnt/e/focusDB/db/GCA_008039555.1_ASM803955v1_genomic.fasta
Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Cerasicoccus	Cerasicoccus_arenae	NA	/mnt/e/focusDB/db/GCA_014651635.1_ASM1465163v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_azotoformans	NA	/mnt/e/focusDB/db/GCA_003050905.1_ASM305090v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_changlensis	NA	/mnt/e/focusDB/db/GCA_003034985.1_ASM303498v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_changlensis	NA	/mnt/e/focusDB/db/GCA_003254335.1_ASM325433v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_johrii	NA	/mnt/e/focusDB/db/GCA_001720585.1_ASM172058v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_johrii	NA	/mnt/e/focusDB/db/GCA_003046325.1_ASM304632v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_ovatus	NA	/mnt/e/focusDB/db/GCA_900207575.1_IMG-taxon_2740891861_annotated_assembly_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_sphaeroides	NA	/mnt/e/focusDB/db/GCA_000012905.2_ASM1290v2_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_sphaeroides	NA	/mnt/e/focusDB/db/GCA_000269625.2_PB_Rhod_Spha_2_4_1_V1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_sphaeroides	NA	/mnt/e/focusDB/db/GCA_000273405.1_Rhod_Spha_2_4_1_V1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_sphaeroides	NA	/mnt/e/focusDB/db/GCA_003324715.1_ASM332471v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_sphaeroides	NA	/mnt/e/focusDB/db/GCA_007991035.1_ASM799103v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_sphaeroides	NA	/mnt/e/focusDB/db/GCA_009797605.1_ASM979760v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_sphaeroides	NA	/mnt/e/focusDB/db/GCA_009797665.1_ASM979766v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter_sphaeroides	NA	/mnt/e/focusDB/db/GCA_900188265.1_IMG-taxon_2681813553_annotated_assembly_genomic.fasta
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cesiribacteraceae	Cesiribacter	Cesiribacter_andamanensis	NA	/mnt/e/focusDB/db/GCA_000348925.1_CeAn1_genomic.fasta
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	Cetobacterium_ceti	NA	/mnt/e/focusDB/db/GCA_900167275.1_IMG-taxon_2585428148_annotated_assembly_genomic.fasta
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	Cetobacterium_somerae	NA	/mnt/e/focusDB/db/GCA_000479045.1_ASM47904v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Chachezhania	Chachezhania_antarctica	NA	/mnt/e/focusDB/db/GCA_003646465.1_ASM364646v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Chachezhania	Chachezhania_sediminis	NA	/mnt/e/focusDB/db/GCA_009765275.1_ASM976527v1_genomic.fasta
Bacteria	Cyanobacteria	NA	Synechococcales	Chamaesiphonaceae	Chamaesiphon	Chamaesiphon_minutus	NA	/mnt/e/focusDB/db/GCA_000317145.1_ASM31714v1_genomic.fasta
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Changchengzhania	Changchengzhania_lutea	NA	/mnt/e/focusDB/db/GCA_006974145.1_ASM697414v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Chania	Chania_multitudinisentens	NA	/mnt/e/focusDB/db/GCA_000520015.2_ASM52001v2_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Chania	Chania_multitudinisentens	NA	/mnt/e/focusDB/db/GCA_000568195.1_De_Novo_Assembly_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Chelativorans	Chelativorans_alearense	NA	/mnt/e/focusDB/db/GCA_010993735.1_ASM1099373v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Chelativorans	Chelativorans_xinjiangense	NA	/mnt/e/focusDB/db/GCA_009812055.1_ASM981205v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Chelatococcaceae	Chelatococcus	Chelatococcus_asaccharovorans	NA	/mnt/e/focusDB/db/GCA_003201475.1_ASM320147v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Chelatococcaceae	Chelatococcus	Chelatococcus_composti	NA	/mnt/e/focusDB/db/GCA_014641535.1_ASM1464153v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Chelatococcaceae	Chelatococcus	Chelatococcus_reniformis	NA	/mnt/e/focusDB/db/GCA_014640075.1_ASM1464007v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Chelatococcaceae	Chelatococcus	Chelatococcus_sambhunathii	NA	/mnt/e/focusDB/db/GCA_001517345.1_JGI_assembly_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Chelonobacter	Chelonobacter_oris	NA	/mnt/e/focusDB/db/GCA_000772535.1_ASM77253v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Chenggangzhangella	Chenggangzhangella_methanolivorans	NA	/mnt/e/focusDB/db/GCA_019797865.1_ASM1979786v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Chimaeribacter	Chimaeribacter_arupi	NA	/mnt/e/focusDB/db/GCA_002858805.1_ASM285880v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Chimaeribacter	Chimaeribacter_californicus	NA	/mnt/e/focusDB/db/GCA_002858675.1_ASM285867v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Chimaeribacter	Chimaeribacter_coloradensis	NA	/mnt/e/focusDB/db/GCA_002858715.1_ASM285871v1_genomic.fasta
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chishuiella	Chishuiella_changwenlii	NA	/mnt/e/focusDB/db/GCA_014638465.1_ASM1463846v1_genomic.fasta
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chishuiella	Chishuiella_changwenlii	NA	/mnt/e/focusDB/db/GCA_900142565.1_IMG-taxon_2700988695_annotated_assembly_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Chitinasiproducens	Chitinasiproducens_palmae	NA	/mnt/e/focusDB/db/GCA_900095735.1_IMG-taxon_2651870115_annotated_assembly_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitinibacter	Chitinibacter_bivalviorum	NA	/mnt/e/focusDB/db/GCA_013403565.1_ASM1340356v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitinibacter	Chitinibacter_fontanus	NA	/mnt/e/focusDB/db/GCA_013423785.1_ASM1342378v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitinibacter	Chitinibacter_tainanensis	NA	/mnt/e/focusDB/db/GCA_000429785.1_ASM42978v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitinilyticum	Chitinilyticum_aquatile	NA	/mnt/e/focusDB/db/GCA_000430805.1_ASM43080v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitinilyticum	Chitinilyticum_litopenaei	NA	/mnt/e/focusDB/db/GCA_000428145.1_ASM42814v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Chitinimonas	Chitinimonas_arctica	NA	/mnt/e/focusDB/db/GCA_007431345.1_ASM743134v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Chitinimonas	Chitinimonas_koreensis	NA	/mnt/e/focusDB/db/GCA_000428465.1_ASM42846v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Chitinimonas	Chitinimonas_taiwanensis	NA	/mnt/e/focusDB/db/GCA_900119825.1_IMG-taxon_2599185263_annotated_assembly_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitiniphilus	Chitiniphilus_eburneus	NA	/mnt/e/focusDB/db/GCA_005048205.1_ASM504820v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitiniphilus	Chitiniphilus_shinanonensis	NA	/mnt/e/focusDB/db/GCA_000374805.1_ASM37480v1_genomic.fasta
Bacteria	Fibrobacteres	Chitinivibrionia	Chitinivibrionales	Chitinivibrionaceae	Chitinivibrio	Chitinivibrio_alkaliphilus	NA	/mnt/e/focusDB/db/GCA_000474745.1_Acht1_1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Chitinolyticbacter	Chitinolyticbacter_meiyuanensis	NA	/mnt/e/focusDB/db/GCA_008033135.1_ASM803313v1_genomic.fasta
Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga_agri	NA	/mnt/e/focusDB/db/GCA_010093065.1_ASM1009306v1_genomic.fasta
Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga_agrisoli	NA	/mnt/e/focusDB/db/GCA_008386695.1_ASM838669v1_genomic.fasta
